,title
209,Upgrading the Preloaded Databricks Runtime Version of a Databricks Pool
210,GENIE ACCESS REQUEST
211,Databricks MLFLow behaviour appears to have changed
212,Job-cluster is slower than interactive cluster
213, Enabling customer-managed keys for managed services
214,[Arr][Storage Latency]
215,Notebook showing function does not exist
216,Notebook execution failure
217,SQL query ran for 25 hours and normally completes in few seconds.
218,Recovery related issue.
219,ARR | SevA | 2205260040003611 | Backed service unavailable in eastus2 
220,ARR | 2205200030001371 | job intermittently failing with unexpected_exception | JNJ
221,How to connect to aws quicksight from databricks
222,2205200030001371
223,Cluster terminated.Reason:Storage Download Failure
224,DBR PROD -  Cannot broadcast the table that is larger than 8GB: 9 GB
225,Error while migrating database from hive to glue
226,Nodes Lost Communication
227,Job performance
228,ValueError: year 0 is out of range when trying to parse json schema using spark.read.json
229,Kafka streaming tasks are failing continuously without any data transmission
230,Notebook execution failure
231,ARR | 2205160030001741 | AzureADAuthenticator.getTokenCall threw java.net.SocketTimeoutException : Read timed 
232,2205260030000947 GENIE
233,Authentication error while logging to Databricks
234,AuditLog設定時のs3:DeleteObjectは必須権限となるか。
235,ARR s500 | 2205040030001107 | Jobs API issues
236,Data loss with applyInPandas
237,Stream Ingestion cloudfiles failure
238,[ARR] [Sev C] SR-2205250050001827 Quota request for Other Requests
239,How to assess performance of notebook included with %run magic
240,Slowness in query execution.
241,Facing error while running job
242,The job failed with INIT script exception.
243,"Sudden cluster termination with error message ""CLOUD_PROVIDER_SHUTDOWN"" | ARR SR# 2205250030000379"
244,Databricks MLflow bug
245,CSS-ARR-S500-SR#2205250030000489-Long running job
246,Databricks jobs failure with Internal Python error in the inspect module.
247,ARR | 2205250060001495 |  PointsBet | Outage | Unable to start clusters 
248, Databricks Support - SQL Workspace Issue
249,issue using the databricks feature store on an ephemeral run
250,2205110040001203 
251,"Job gets stuck on “uploading command"" "
252,cannot start cluster on northcentralus
253,2205250030002550 
254,cannot start cluster on   northcentralus
255,2205250040009039 
256,2205250040009237 
257,Databricks Clusters are not starting
258,[ARR][ 2205250030002536][AholdDelhaize]we are unable to see clusters in Prod ADB03 workspace. Getting Backend service unavailable error.
259, Kafka streaming tasks are failing continuously without any data transmission
260,Databricks DBU consumption
261,Sev A - ARR - Facing issue Running jobs using databricks sql connector
262,SQL Data slow loading
263,UI access not working
264,RND - Production jobs failed with network connectivity issue
265,ARR Customer Starbucks: Issue - Intermittent issues during auto scaling.
266,Update IP address whitelist for finra-prod shard
267,Databricks Operational Outage
268,ARR Customer Chicago Trading Company: Issue - Databricks Clusters are Inaccessible
269,[ARR][Public Analytics][2205250030002283 ]Notebooks/Folders under FIONA/RBS need to restore and audit report 
270,ARR Customer Chicago Trading Company: Issue - Unable to Access Clusters. 
271,"ARR:IDENTITY Column Not Unique,seeing duplicate values in the IDENTITY column:SR2205250040005673 "
272,spark commands get stuck
273,Reverse CredentialsProvider setting
274,Billing Details
275,Problema de conectividade DATABRICKS via firewall- Saved
276,MLFlow Infinite Recursion Error when unselecting metrics
277,bad configuration in terraform
278,[ARR][Public Analytics][2205250030002283 ] Missing Notebooks/Folders under FIONA/RBS in DEV ADB03
279,Provide Nexus credentials to clusters
280,Repo Error
281,"Notebook commands not getting executed, showing as Uploding Command on UI, UI bug"
282,permissions changed on cluster
283,Libraries are not installing
284,Hive Metastore Integration
285,Invalid Bucket Error
286,Best practice for images in delta lake
287,Databricks views are being recreated with all column names in lowercase.
288,ARR 2205180010001040 - Customer's workspace is slow
289,S500 | Highly escalated| job performance degredation 
290,ARR | Databricks job deleted automatically | 2205250030001931 
291,CRITICAL Findings - CVE-2022-22824 - expat
292,0.4 LTS Runtime Issue
293,odbc error in power BI conencting to DBX
294,[ARR]  calling the global init script of a Databricks cluster from automated azure devops pipeline issue
295,workspace access | 2205170050002219
296,Enable prometheus metrics
297,configuring delta cache for cluster
298,FileNotFoundError in spark execution
299,gar-for-2205170050002951 
300, SSH Databricks cluster connection error Power BI
301,Connection between databricks workspace and datalake
302,CSS-ARR-S500-SR#2205200040003401-Unable to Launch Cluster
303,Spark image processing very slow
304,worker is lost during jobs execution
305,unable access to experiment in mlflow
306,Data loss with applyInPandas
307,Terraform error for mounting a bucket
308,SQL joins gives wrong result
309,Failed Databricks notebooks
310,How to avoid WARNING: skipped 44535 bytes of output in job output
311,2205230030001614
312,Best practices for deploying mlflow model to Azure Container Instance
313,Error when trying to read from s3
314,Spark streaming job continues in background while status is failed
315,UnityCatalogマネージドテーブルアクセス用IAMポリシーに付与する権限について
316,Enable Unity Catalog
317,2205240030000450 | ARR | Error creating cluster
318,Add Comment to Column Create Table AS
319,Disable Schedule of Dashboard via API
320,Cluster terminated.Reason:Self Bootstrap Failure
